implementation,dataset,processes,px,py,pz,iteration,nx,ny,nz,timesteps,read_time,main_time,total_time,wall_time
isend,../data/data_64_64_96_7.bin,2,1,2,1,0,64,64,96,7,0.0202,0.0193,0.0395,1.038362446
isend,../data/data_64_64_96_7.bin,2,1,2,1,1,64,64,96,7,0.0207,0.0193,0.0400,1.040743722
isend,../data/data_64_64_96_7.bin,2,1,2,1,2,64,64,96,7,0.0200,0.0193,0.0393,1.030174033
isend,../data/data_64_64_96_7.bin,2,1,2,1,3,64,64,96,7,0.0206,0.0194,0.0400,1.053807028
isend,../data/data_64_64_96_7.bin,2,1,2,1,4,64,64,96,7,0.0205,0.0195,0.0400,1.041161938
coll_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,0,64,64,96,7,0.0174,0.0096,0.0270,1.072168220
coll_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,1,64,64,96,7,0.0167,0.0096,0.0263,1.071022100
coll_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,2,64,64,96,7,0.0172,0.0094,0.0266,1.060785211
coll_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,3,64,64,96,7,0.0157,0.0095,0.0253,1.076316346
coll_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,4,64,64,96,7,0.0181,0.0095,0.0275,1.073902783
send,../data/data_64_64_96_7.bin,4,1,2,2,0,64,64,96,7,0.0221,0.0124,0.0317,1.072048635
send,../data/data_64_64_96_7.bin,4,1,2,2,1,64,64,96,7,0.0237,0.0142,0.0337,1.058412472
send,../data/data_64_64_96_7.bin,4,1,2,2,2,64,64,96,7,0.0232,0.0131,0.0332,1.077527042
send,../data/data_64_64_96_7.bin,4,1,2,2,3,64,64,96,7,0.0237,0.0141,0.0336,1.046929059
send,../data/data_64_64_96_7.bin,4,1,2,2,4,64,64,96,7,0.0217,0.0139,0.0314,1.081353517
ind_IO,../data/data_64_64_96_7.bin,4,1,2,2,0,64,64,96,7,0.0252,0.0097,0.0348,1.078436248
ind_IO,../data/data_64_64_96_7.bin,4,1,2,2,1,64,64,96,7,0.0258,0.0095,0.0353,1.089633619
ind_IO,../data/data_64_64_96_7.bin,4,1,2,2,2,64,64,96,7,0.0247,0.0094,0.0341,1.082752961
ind_IO,../data/data_64_64_96_7.bin,4,1,2,2,3,64,64,96,7,0.0252,0.0097,0.0349,1.079237569
ind_IO,../data/data_64_64_96_7.bin,4,1,2,2,4,64,64,96,7,0.0252,0.0097,0.0348,1.061991061
ind_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,0,64,64,96,7,0.0096,0.0094,0.0190,1.065983691
ind_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,1,64,64,96,7,0.0092,0.0094,0.0185,1.069717024
ind_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,2,64,64,96,7,0.0089,0.0094,0.0183,1.058696664
ind_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,3,64,64,96,7,0.0168,0.0100,0.0266,1.084004955
ind_IO_der,../data/data_64_64_96_7.bin,4,1,2,2,4,64,64,96,7,0.0144,0.0097,0.0241,1.127312145
isend,../data/data_64_64_96_7.bin,4,1,2,2,0,64,64,96,7,0.0209,0.0151,0.0308,1.078718224
